"Source","Date","District","NewCases","TotalConfirmedCases"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Falaba",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Kailahun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Kambia",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Karene",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Kono",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Kenema",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Koinadugu",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Moyamba",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Port Loko",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Pujehun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Tonkolili",NA,3
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Western rural",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Western urban",NA,4
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-4-Feb.jpeg",2025-02-04,"Bo",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-4-Feb.jpeg",2025-02-04,"Bonthe",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-4-Feb.jpeg",2025-02-04,"Bombali",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-4-Feb.jpeg",2025-02-04,"Falaba",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-4-Feb.jpeg",2025-02-04,"Kailahun",NA,0
