"Source","Date","TotalConfirmedCases","TotalActiveCases","NewCases","NewRecoveries","TotalRecovered","TotalDeaths"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-21-May.jpeg",2025-05-21,2865,1904,111,0,947,14
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-22-May.jpeg",2025-05-22,2921,1955,56,5,952,14
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-26-May.jpeg",2025-05-26,3140,1432,32,8,1693,15
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-28-May.jpeg",2025-05-28,3254,1516,69,0,1723,15
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Jun.jpeg",2025-06-02,3523,1057,10,432,2449,17
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Jun.jpeg",2025-06-03,3609,1106,86,37,2486,17
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-7-Jun.jpeg",2025-06-07,3782,958,45,72,2804,20
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-8-Jun.jpeg",2025-06-08,3815,937,33,54,2858,20
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-9-Jun.jpeg",2025-06-09,3842,931,27,33,2891,20
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-10-Jun.jpeg",2025-06-10,3922,901,80,110,3001,20
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-11-Jun.jpeg",2025-06-11,3962,848,40,91,3092,22
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-13-Jun.jpeg",2025-06-13,4024,838,42,20,3162,24
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-14-Jun.jpeg",2025-06-14,4048,807,24,54,3216,25
